cve,epss,date
CVE-2025-48543,0.00545,2026-06-19
CVE-2025-57631,0.00767,2026-06-19
CVE-2025-58321,0.01217,2026-06-19
CVE-2025-58447,0.00819,2026-06-19
CVE-2025-59352,0.0068,2026-06-19
CVE-2025-20352,0.37613,2026-06-23
CVE-2025-20362,0.85543,2026-06-23
CVE-2025-21042,0.11606,2026-06-23
CVE-2025-21043,0.01435,2026-06-23
CVE-2025-36897,0.00271,2026-06-23
CVE-2025-48543,0.00545,2026-06-23
CVE-2025-57631,0.00767,2026-06-23
CVE-2025-58321,0.01217,2026-06-23
CVE-2025-58447,0.00819,2026-06-23
CVE-2025-59352,0.0068,2026-06-23
CVE-2025-20352,0.37613,2026-06-27
CVE-2025-20362,0.85543,2026-06-27
CVE-2025-21042,0.11606,2026-06-27
CVE-2025-21043,0.01435,2026-06-27
CVE-2025-36897,0.00271,2026-06-27
CVE-2025-48543,0.00545,2026-06-27
CVE-2025-57631,0.00767,2026-06-27
CVE-2025-58321,0.01217,2026-06-27
CVE-2025-58447,0.00819,2026-06-27
CVE-2025-59352,0.0068,2026-06-27
