cve,epss,date
CVE-2025-57631,0.00314,2025-11-27
CVE-2025-58321,0.00698,2025-11-27
CVE-2025-58447,0.00291,2025-11-27
CVE-2025-59352,0.00641,2025-11-27
CVE-2025-20352,0.01579,2025-12-01
CVE-2025-20362,0.16154,2025-12-01
CVE-2025-21042,0.03976,2025-12-01
CVE-2025-21043,0.1144,2025-12-01
CVE-2025-36897,0.00187,2025-12-01
CVE-2025-48543,0.00203,2025-12-01
CVE-2025-57631,0.00314,2025-12-01
CVE-2025-58321,0.00698,2025-12-01
CVE-2025-58447,0.00291,2025-12-01
CVE-2025-59352,0.00641,2025-12-01
CVE-2025-20352,0.01579,2025-12-05
CVE-2025-20362,0.25952,2025-12-05
CVE-2025-21042,0.03976,2025-12-05
CVE-2025-21043,0.1144,2025-12-05
CVE-2025-36897,0.00187,2025-12-05
CVE-2025-48543,0.00203,2025-12-05
CVE-2025-57631,0.00314,2025-12-05
CVE-2025-58321,0.00698,2025-12-05
CVE-2025-58447,0.00291,2025-12-05
CVE-2025-59352,0.00641,2025-12-05
CVE-2025-20352,0.01579,2025-12-09
CVE-2025-20362,0.25952,2025-12-09
CVE-2025-21042,0.03976,2025-12-09
CVE-2025-21043,0.1144,2025-12-09
CVE-2025-36897,0.00187,2025-12-09
CVE-2025-48543,0.00307,2025-12-09
CVE-2025-57631,0.00314,2025-12-09
CVE-2025-58321,0.00698,2025-12-09
CVE-2025-58447,0.00291,2025-12-09
CVE-2025-59352,0.00641,2025-12-09
CVE-2025-20352,0.01653,2025-12-13
CVE-2025-20362,0.28865,2025-12-13
CVE-2025-21042,0.03976,2025-12-13
CVE-2025-21043,0.1144,2025-12-13
CVE-2025-36897,0.00187,2025-12-13
CVE-2025-48543,0.00307,2025-12-13
CVE-2025-57631,0.00314,2025-12-13
CVE-2025-58321,0.00698,2025-12-13
CVE-2025-58447,0.00291,2025-12-13
CVE-2025-59352,0.00641,2025-12-13
CVE-2025-20352,0.01653,2025-12-17
CVE-2025-20362,0.28865,2025-12-17
CVE-2025-21042,0.03976,2025-12-17
CVE-2025-21043,0.1144,2025-12-17
CVE-2025-36897,0.00187,2025-12-17
CVE-2025-48543,0.00307,2025-12-17
CVE-2025-57631,0.00314,2025-12-17
CVE-2025-58321,0.00698,2025-12-17
CVE-2025-58447,0.00291,2025-12-17
CVE-2025-59352,0.00641,2025-12-17
CVE-2025-20352,0.01579,2025-12-21
CVE-2025-20362,0.33379,2025-12-21
CVE-2025-21042,0.03087,2025-12-21
CVE-2025-21043,0.11152,2025-12-21
CVE-2025-36897,0.00187,2025-12-21
CVE-2025-48543,0.00307,2025-12-21
CVE-2025-57631,0.00314,2025-12-21
CVE-2025-58321,0.00698,2025-12-21
CVE-2025-58447,0.00291,2025-12-21
CVE-2025-59352,0.00641,2025-12-21
CVE-2025-20352,0.01653,2025-12-25
CVE-2025-20362,0.33379,2025-12-25
CVE-2025-21042,0.03087,2025-12-25
CVE-2025-21043,0.11152,2025-12-25
CVE-2025-36897,0.00187,2025-12-25
CVE-2025-48543,0.00307,2025-12-25
CVE-2025-57631,0.00314,2025-12-25
CVE-2025-58321,0.00698,2025-12-25
CVE-2025-58447,0.00291,2025-12-25
CVE-2025-59352,0.00641,2025-12-25
CVE-2025-20352,0.01653,2025-12-29
CVE-2025-20362,0.33379,2025-12-29
CVE-2025-21042,0.03087,2025-12-29
CVE-2025-21043,0.11152,2025-12-29
CVE-2025-36897,0.00187,2025-12-29
CVE-2025-48543,0.00307,2025-12-29
CVE-2025-57631,0.00314,2025-12-29
CVE-2025-58321,0.00698,2025-12-29
CVE-2025-58447,0.00291,2025-12-29
CVE-2025-59352,0.00641,2025-12-29
CVE-2025-20352,0.01653,2026-01-02
CVE-2025-20362,0.23047,2026-01-02
CVE-2025-21042,0.03087,2026-01-02
CVE-2025-21043,0.11152,2026-01-02
CVE-2025-36897,0.00187,2026-01-02
CVE-2025-48543,0.00307,2026-01-02
CVE-2025-57631,0.00314,2026-01-02
CVE-2025-58321,0.00698,2026-01-02
CVE-2025-58447,0.00291,2026-01-02
CVE-2025-59352,0.00641,2026-01-02
CVE-2025-20352,0.0208,2026-01-06
CVE-2025-20362,0.34055,2026-01-06
CVE-2025-21042,0.03087,2026-01-06
CVE-2025-21043,0.11152,2026-01-06
CVE-2025-36897,0.00241,2026-01-06
CVE-2025-48543,0.00355,2026-01-06
CVE-2025-57631,0.00314,2026-01-06
CVE-2025-58321,0.00698,2026-01-06
CVE-2025-58447,0.00291,2026-01-06
CVE-2025-59352,0.00641,2026-01-06
CVE-2025-20352,0.0208,2026-01-10
CVE-2025-20362,0.42189,2026-01-10
CVE-2025-21042,0.03087,2026-01-10
CVE-2025-21043,0.11152,2026-01-10
CVE-2025-36897,0.00241,2026-01-10
CVE-2025-48543,0.00355,2026-01-10
CVE-2025-57631,0.00314,2026-01-10
CVE-2025-58321,0.00698,2026-01-10
CVE-2025-58447,0.00357,2026-01-10
CVE-2025-59352,0.00641,2026-01-10
CVE-2025-20352,0.0208,2026-01-14
CVE-2025-20362,0.42189,2026-01-14
CVE-2025-21042,0.02837,2026-01-14
CVE-2025-21043,0.11273,2026-01-14
CVE-2025-36897,0.00241,2026-01-14
CVE-2025-48543,0.00355,2026-01-14
CVE-2025-57631,0.00314,2026-01-14
CVE-2025-58321,0.00698,2026-01-14
CVE-2025-58447,0.00357,2026-01-14
CVE-2025-59352,0.00641,2026-01-14
CVE-2025-20352,0.01988,2026-01-18
CVE-2025-20362,0.41474,2026-01-18
CVE-2025-21042,0.03112,2026-01-18
CVE-2025-21043,0.11373,2026-01-18
CVE-2025-36897,0.00241,2026-01-18
CVE-2025-48543,0.00355,2026-01-18
CVE-2025-57631,0.00406,2026-01-18
CVE-2025-58321,0.00698,2026-01-18
CVE-2025-58447,0.00357,2026-01-18
CVE-2025-59352,0.00749,2026-01-18
CVE-2025-20352,0.01988,2026-01-22
CVE-2025-20362,0.41474,2026-01-22
CVE-2025-21042,0.03112,2026-01-22
CVE-2025-21043,0.11373,2026-01-22
CVE-2025-36897,0.00241,2026-01-22
CVE-2025-48543,0.00355,2026-01-22
CVE-2025-57631,0.00406,2026-01-22
CVE-2025-58321,0.00698,2026-01-22
CVE-2025-58447,0.00357,2026-01-22
CVE-2025-59352,0.00749,2026-01-22
CVE-2025-20352,0.02294,2026-01-26
CVE-2025-20362,0.41474,2026-01-26
CVE-2025-21042,0.03112,2026-01-26
CVE-2025-21043,0.11373,2026-01-26
CVE-2025-36897,0.00241,2026-01-26
